doc_id,url,title,description,pagerank
10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/,Toll Mediated Infection Response Is Altered by Gravity and Spaceflight in Drosophila - PMC,"Space travel presents unlimited opportunities for exploration and discovery, but requires better understanding of the biological consequences of long-term exposure to spaceflight. Immune function in particular is relevant for space travel. Human ...",9e-06
11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/,GeneLab Database Analyses Suggest Long-Term Impact of Space Radiation on the Cardiovascular System by the Activation of FYN Through Reactive Oxygen Species - PMC,"Space radiation has recently been considered a risk factor for astronauts’ cardiac health. As an example, for the case of how to query and identify datasets within NASA’s GeneLab database and demonstrate the database utility, we used an unbiased ...",9e-06
12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/,Mice in Bion-M 1 Space Mission: Training and Selection - PMC,"After a 16-year hiatus, Russia has resumed its program of biomedical research in space, with the successful 30-day flight of the Bion-M 1 biosatellite (April 19–May 19, 2013). The principal species for biomedical research in this project was the ...",9e-06
13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/,Microgravity and Cellular Biology: Insights into Cellular Responses and Implications for Human Health - PMC,"Microgravity, defined by minimal gravitational forces, represents a unique environment that profoundly influences biological systems, including human cells. This review examines the effects of microgravity on biological processes and their ...",9e-06
14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/,Gravitropism and Lateral Root Emergence are Dependent on the Trans-Golgi Network Protein TNO1 - PMC,"The trans-Golgi network (TGN) is a dynamic organelle that functions as a relay station for receiving endocytosed cargo, directing secretory cargo, and trafficking to the vacuole. TGN-localized SYP41-interacting protein (TNO1) is a large, ...",9e-06
15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions - PMC,"NASA’s Space Biology and Human Research Program entities have recently spearheaded communications both internally and externally to coordinate the agency’s translational research efforts. In this paper, we strongly advocate for translational ...",9e-06
16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus - PMC,"Maintaining the proximity of centrosomes to nuclei is important in several cellular contexts, and LINC complexes formed by SUN and KASH proteins are crucial in this process. Here, we characterize the presumed Drosophila ortholog of the mammalian SUN ...",9e-06
17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/,Effects of ex vivo Ionizing Radiation on Collagen Structure and Whole-Bone Mechanical Properties of Mouse Vertebrae - PMC,"Bone can become brittle when exposed to ionizing radiation across a wide range of clinically relevant doses that span from radiotherapy (accumulative 50 Gy) to sterilization (~35,000 Gy). While irradiation-induced embrittlement has been attributed ...",9e-06
18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System - PMC,"Space radiation may pose a risk to skeletal health during subsequent aging. Irradiation acutely stimulates bone remodeling in mice, although the long-term influence of space radiation on bone-forming potential (osteoblastogenesis) and possible ...",9e-06
19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/,FAIRness and Usability for Open-access Omics Data Systems - PMC,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the ...",9e-06
20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/,Absence of γ-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle - PMC,"The dystrophin glycoprotein complex (DGC) is located at the sarcolemma of muscle fibers, providing structural integrity. Mutations in and loss of DGC proteins cause a spectrum of muscular dystrophies. When only the sarcoglycan subcomplex is absent, ...",9e-06
21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome - PMC,"Antimicrobial resistance (AMR) has a detrimental impact on human health on Earth and it is equally concerning in other environments such as space habitat due to microgravity, radiation and confinement, especially for long-distance space travel. The ...",9e-06
22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/,NASA GeneLab Platform Utilized for Biological Response to Space Radiation in Animal Models - PMC,Background: Ionizing radiation from galactic cosmic rays (GCR) is one of the major risk factors that will impact the health of astronauts on extended missions outside the protective effects of the Earth’s magnetic field. The NASA GeneLab project has ...,9e-06
23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation - PMC,"Despite surging interest in space travel in recent decades, the impacts of prolonged, elevated exposure to galactic cosmic radiation (GCR) on human health remain poorly understood. This form of ionizing radiation causes significant changes to ...",9e-06
24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/,Circulating miRNA Spaceflight Signature Reveals Targets for Countermeasure Development - PMC,"We have identified and validated a spaceflight-associated microRNA (miRNA) signature that is shared by rodents and humans in response to simulated, short-duration and long-duration spaceflight. Previous studies have identified miRNAs that regulate ...",9e-06
25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: host extracellular to systemic effects of SARS-CoV-2 infection - PMC","COVID-19, the disease caused by SARS-CoV-2, has caused significant morbidity and mortality worldwide. The betacoronavirus continues to evolve with global health implications as we race to learn more to curb its transmission, evolution, and sequelae. ...",9e-06
26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice - PMC,Human expansion in space is hampered by the physiological risks of spaceflight. The muscle and the liver are among the most affected tissues during spaceflight and their relationships in response to space exposure have never been studied. We ...,9e-06
27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/,Aging and putative frailty biomarkers are altered by spaceflight - PMC,"Human space exploration poses inherent risks to astronauts’ health, leading to molecular changes that can significantly impact their well-being. These alterations encompass genomic instability, mitochondrial dysfunction, increased inflammation, ...",9e-06
28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/,ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations - PMC,ERULUS Is a Plasma Membrane-Localized Receptor-Like Kinase That Specifies Root Hair Growth by Maintaining Tip-Focused Cytoplasmic Calcium Oscillations - PMC Skip to main content An official website of...,9e-06
29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila - PMC,"Understanding the effects of microgravity on human organs is crucial to exploration of low-earth orbit, the moon, and beyond. Drosophila can be sent to space in large numbers to examine the effects of microgravity on heart structure and function, ...",9e-06
30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/,Brassinosteroids Inhibit Autotropic Root Straightening by Modifying Filamentous-Actin Organization and Dynamics - PMC,"When positioned horizontally, roots grow down toward the direction of gravity. This phenomenon, called gravitropism, is influenced by most of the major plant hormones including brassinosteroids. Epi-brassinolide (eBL) was previously shown to enhance ...",9e-06
31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/,Ethical considerations for the age of non-governmental space exploration - PMC,"Mounting ambitions and capabilities for public and private, non-government sector crewed space exploration bring with them an increasingly diverse set of space travelers, raising new and nontrivial ethical, legal, and medical policy and practice ...",9e-06
32,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/,Cell Type-Specific Imaging of Calcium Signaling in Arabidopsis thaliana Seedling Roots Using GCaMP3 - PMC,Cytoplasmic calcium ([Ca2+]cyt) is a well-characterized second messenger in eukaryotic cells. An elevation in [Ca2+]cyt levels is one of the earliest responses in plant cells after exposure to a range of environmental stimuli. Advances in ...,9e-06
33,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review - PMC,"Outer space is an extremely hostile environment for human life, with ionizing radiation from galactic cosmic rays and microgravity posing the most significant hazards to the health of astronauts. Spaceflight has also been shown to have an impact on ...",9e-06
34,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/,Spaceflight and simulated microgravity conditions increase virulence of Serratia marcescens in the Drosophila melanogaster infection model - PMC,"While it has been shown that astronauts suffer immune disorders after spaceflight, the underlying causes are still poorly understood and there are many variables to consider when investigating the immune system in a complex environment. ...",9e-06
35,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis - PMC,A forward-genetic screen for Arabidopsis mutants hypersensitive to latrunculin B identifies HLB1 as a plant-specific protein that functions in post-Golgi traffic.,9e-06
36,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs - PMC,"Our previous research revealed a key microRNA signature that is associated with spaceflight that can be used as a biomarker and to develop countermeasure treatments to mitigate the damage caused by space radiation. Here, we expand on this work to ...",9e-06
37,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3190158/,The oligomeric state of the truncated mechanosensitive channel of large conductance shows no variance in vivo - PMC,The mechanosensitive channel of large conductance (MscL) from E. coli serves as an emergency release valve allowing the cell to survive acute osmotic downshock. It is one of the best studied mechanosensitive channels and serves as a paradigm for how ...,9e-06
38,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/,Impact of microgravity and lunar gravity on murine skeletal and immune systems during space travel - PMC,"Long-duration spaceflight creates a variety of stresses due to the unique environment, which can lead to compromised functioning of the skeletal and immune systems. However, the mechanisms by which organisms respond to this stress remain unclear. ...",9e-06
39,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3289768/,Three Routes to Modulate the Pore Size of the MscL Channel/Nanovalve - PMC,"MscL is a bacterial mechanosensitive channel that protects cells from lysis upon acute decrease in external osmotic environment. It is one of the best characterized mechanosensors known, thus serving as a paradigm of how such molecules sense and ...",9e-06
40,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/,Manipulating the permeation of charged compounds through the MscL nanovalve - PMC,"MscL is a bacterial mechanosensor that serves as a biological emergency release valve, releasing cytoplasmic solutes to the environment on osmotic downshock. Previous studies have recognized that this channel has properties that make it ideal for ...",9e-06
41,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development - PMC,SPIRRIG and SCAR/WAVE are molecular determinants of actin-mediated root hair development in Arabidopsis.,9e-06
42,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3430326/,The MscS and MscL Families of Mechanosensitive Channels Act as Microbial Emergency Release Valves - PMC,Single-celled organisms must survive exposure to environmental extremes. Perhaps one of the most variable and potentially life-threatening changes that can occur is that of a rapid and acute decrease in external osmolarity. This easily translates ...,9e-06
43,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5018776/,"Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade - PMC","Correction for Boothby et al., Evidence for extensive horizontal gene transfer from the draft genome of a tardigrade - PMC Skip to main content An official website of the United States government Here...",9e-06
44,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/,S. aureus MscL Is a Pentamer In Vivo but of Variable Stoichiometries In Vitro: Implications for Detergent-Solubilized Membrane Proteins - PMC,Detergent-induced rearrangements of membrane-protein subunits explain why two MscL channel stoichiometries have been resolved by X-ray crystallography - but S. aureus MscL is truly a pentamer in vivo.,9e-06
45,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3593973/,Chimeras reveal a single lipid-interface residue that controls MscL channel kinetics as well as mechanosensitivity - PMC,"MscL, the highly conserved bacterial mechanosensitive channel of large conductance, functionally serves as an osmotic “emergency release valve”, is among the best studied mechanosensors and a paradigm of how a channel senses and responds to membrane ...",9e-06
46,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4896697/,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies - PMC,Reply to Bemm et al. and Arakawa: Identifying foreign genes in independent Hypsibius dujardini genome assemblies - PMC Skip to main content An official website of the United States government Here's h...,9e-06
47,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3508904/,The dynamics of protein-protein interactions between domains of MscL at the cytoplasmic-lipid interface - PMC,"The bacterial mechanosensitive channel of large conductance, MscL, is one of the best characterized mechanosensitive channels serving as a paradigm for how proteins can sense and transduce mechanical forces. The physiological role of MscL is that of ...",9e-06
48,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/,Bundling up the Role of the Actin Cytoskeleton in Primary Root Growth - PMC,"Primary root growth is required by the plant to anchor in the soil and reach out for nutrients and water, while dealing with obstacles. Efficient root elongation and bending depends upon the coordinated action of environmental sensing, signal ...",9e-06
49,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831363/,Correction to: The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance - PMC,Correction to: The Evolution of Temperature and Desiccation-Related Protein Families in Tardigrada Reveals a Complex Acquisition of Extremotolerance - PMC Skip to main content An official website of t...,9e-06
50,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11127935/,Tardigrade secretory proteins protect biological structures from desiccation - PMC,"Tardigrades, microscopic animals that survive a broad range of environmental stresses, express a unique set of proteins termed tardigrade-specific intrinsically disordered proteins (TDPs). TDPs are often expressed at high levels in tardigrades upon ...",9e-06
51,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4118556/,"Partial Reductions in Mechanical Loading Yield Proportional Changes in Bone Density, Bone Architecture, and Muscle Mass - PMC","Although the musculoskeletal system is known to be sensitive to changes in its mechanical environment, the relationship between functional adaptation and below-normal mechanical stimuli is not well defined. We investigated bone and muscle adaptation ...",9e-06
52,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3774184/,Partial weight suspension: a novel murine model for investigating adaptation to reduced musculoskeletal loading - PMC,"We developed a new model of hypodynamic loading to support mice in chronic conditions of partial weight bearing, enabling simulations of reduced gravity environments and related clinical conditions. The novel hardware allows for reduced loading ...",9e-06
53,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4653813/,Spaceflight and hind limb unloading induce similar changes in electrical impedance characteristics of mouse gastrocnemius muscle - PMC,To assess the potential of electrical impedance myography (EIM) to serve as a marker of muscle fiber atrophy and secondarily as an indicator of bone deterioration by assessing the effects of spaceflight or hind limb unloading. In the first ...,9e-06
54,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8816950/,Production of reactive oxygen species and involvement of bioprotectants during anhydrobiosis in the tardigrade Paramacrobiotus spatialis - PMC,"Water unavailability is an abiotic stress causing unfavourable conditions for life. Nevertheless, some animals evolved anhydrobiosis, a strategy allowing for the reversible organism dehydration and suspension of metabolism as a direct response to ...",9e-06
55,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11930778/,Possible roles of CAHS proteins from Tardigrade in osmotic stress tolerance in mammalian cells - PMC,"Anhydrobiosis, a phenomenon in which organisms survive extreme dehydration by entering a reversible ametabolic state, is a remarkable example of survival strategies. This study focuses on anhydrobiosis in tardigrades, which are known for their ...",9e-06
56,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6915713/,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver - PMC,"Spaceflight has several detrimental effects on the physiology of astronauts, many of which are recapitulated in rodent models. Mouse studies performed on the Space Shuttle showed disruption of lipid metabolism in liver. However, given that these ...",9e-06
57,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6124165/,Treatment With a Soluble Bone Morphogenetic Protein Type 1A Receptor (BMPR1A) Fusion Protein Increases Bone Mass and Bone Formation in Mice Subjected to Hindlimb Unloading - PMC,"Previous work has shown that the soluble murine BMPR1A–fusion protein (mBMPR1A‐mFc) binds to BMP2 and BMP4 with high affinity, preventing downstream signaling. Further, treatment of intact and ovariectomized mice with mBMPR1A‐mFc leads to increased ...",9e-06
58,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8509868/,RNAseq and RNA molecular barcoding reveal differential gene expression in cortical bone following hindlimb unloading in female mice - PMC,"Disuse-induced bone loss is seen following spinal cord injury, prolonged bed rest, and exposure to microgravity. We performed whole transcriptomic profiling of cortical bone using RNA sequencing (RNAseq) and RNA molecular barcoding (NanoString) on a ...",9e-06
59,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5672023/,Adaptive Changes in the Vestibular System of Land Snail to a 30-Day Spaceflight and Readaptation on Return to Earth - PMC,"The vestibular system receives a permanent influence from gravity and reflexively controls equilibrium. If we assume gravity has remained constant during the species' evolution, will its sensory system adapt to abrupt loss of that force? We address ...",9e-06
60,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4150462/,Endoplasmic reticulum—shape and function in stress translation - PMC,Endoplasmic reticulum—shape and function in stress translation - PMC Skip to main content An official website of the United States government Here's how you know Here's how you know Official websites ...,9e-06
61,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11063234/,Proteomic and phosphoproteomic characterization of cardiovascular tissues after long term exposure to simulated space radiation - PMC,Introduction: It may take decades to develop cardiovascular dysfunction following exposure to high doses of ionizing radiation from medical therapy or from nuclear accidents. Since astronauts may be exposed continually to a complex space radiation ...,9e-06
62,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4618186/,"Unfolded protein response in plants: one master, many questions - PMC","To overcome endoplasmic reticulum (ER) stress, ER-localized stress sensors actuate distinct downstream organelle-nucleus signaling pathways to invoke a cytoprotective response, known as the unfolded protein response (UPR). Compared to yeast and ...",9e-06
63,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378170/,Galactose-Depleted Xyloglucan Is Dysfunctional and Leads to Dwarfism in Arabidopsis - PMC,Depleting galactose from the cell wall polysaccharide xyloglucan leads to a disruption of diverse cellular and physiological processes involved in normal plant growth.,9e-06
64,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5899691/,"Morphology of the Utricular Otolith Organ in the Toadfish, Opsanus tau - PMC",The utricle provides the vestibular reflex pathways with the sensory codes of inertial acceleration of self motion and head orientation with respect to gravity to control balance and equilibrium. Here we present an anatomical description of this ...,9e-06
65,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4064004/,Organization of the ER–Golgi interface for membrane traffic control - PMC,"Coat protein complex I (COPI) and COPII are required for bidirectional membrane trafficking between the endoplasmic reticulum (ER) and the Golgi. While these core coat machineries and other transport factors are highly conserved across species, ...",9e-06
66,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3818365/,IRE1: ER stress sensor and cell fate executor - PMC,Cells operate a signaling network termed unfolded protein response (UPR) to monitor protein-folding capacity in the endoplasmic reticulum (ER). IRE1 is an ER transmembrane sensor that activates UPR to maintain ER and cellular function. While ...,9e-06
67,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3981873/,INTER-REGULATION OF THE UNFOLDED PROTEIN RESPONSE AND AUXIN SIGNALING - PMC,"The unfolded protein response (UPR) is a signaling network triggered by overload of protein-folding demand in the endoplasmic reticulum (ER), a condition termed ER stress. The UPR is critical for growth and development; nonetheless, connections ...",9e-06
68,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4902601/,Pectin Methylesterification Impacts the Relationship between Photosynthesis and Plant Growth - PMC,"High levels of methylesterification of pectin allow for enhanced cell expansion, partitioning of resources to leaf growth, and increased leaf area for photosynthesis, which in turn enhance plant growth.",9e-06
69,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6289879/,NADPH Oxidase activity is required for ER stress survival in plants - PMC,"In all eukaryotes, the unfolded protein response (UPR) relieves endoplasmic reticulum (ER) stress, which is a potentially lethal condition caused by the accumulation of misfolded proteins in the ER. In mammalian and yeast cells, reactive oxygen ...",9e-06
70,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4453782/,Vesicles versus Tubes: Is Endoplasmic Reticulum-Golgi Transport in Plants Fundamentally Different from Other Eukaryotes? - PMC,Four leading cell biologists reflect on the controversial nature of the vector for transport between the ER and Golgi apparatus in higher plants.,9e-06
71,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5116466/,"Corrigendum: High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core “DSB” response specific to clastogenic treatments - PMC","Corrigendum: High atomic weight, high-energy radiation (HZE) induces transcriptional responses shared with conventional stresses in addition to a core “DSB” response specific to clastogenic treatments...",9e-06
72,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4776492/,REDUCED CHLOROPLAST COVERAGE genes from Arabidopsis thaliana help to establish the size of the chloroplast compartment - PMC,"Mechanisms that determine the cellular volume allocated to organelles are largely unknown. We demonstrate that in the plant Arabidopsis thaliana, a small gene family that encodes proteins of unknown function contributes to a mechanism that ...",9e-06
73,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7987364/,Relevance of the Unfolded Protein Response to Spaceflight-Induced Transcriptional Reprogramming in Arabidopsis - PMC,Plants are primary producers of food and oxygen on Earth and will likewise be indispensable to the establishment of large-scale sustainable ecosystems and human survival in space. To contribute to the understanding of how plants respond to ...,9e-06
74,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6081456/,Acceleration profiles and processing methods for parabolic flight - PMC,"Parabolic flights provide cost-effective, time-limited access to “weightless” or reduced gravity conditions, facilitating research and validation activities that complement infrequent and costly access to space. Although parabolic flights have been ...",9e-06
75,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6204554/,"Influence of Magnitude and Duration of Altered Gravity and Readaptation to 1 g on the Structure and Function of the Utricle in Toadfish, Opsanus tau - PMC",Gravity has remained constant during animal evolution and the neural sensory systems detecting acceleration forces have remained remarkably conserved among vertebrates. The utricular organ senses the sum of inertial force due to head translation and ...,9e-06
76,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8099722/,Reanalysis of the Mars500 experiment reveals common gut microbiome alterations in astronauts induced by long-duration confinement - PMC,"Keywords: Microbiome, Mars, Space science, Astronaut health, 16S rRNA gene",9e-06
77,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5415411/,Maintaining the Factory: The Roles of the Unfolded Protein Response in Cellular Homeostasis in Plants - PMC,"Much like a factory, the endoplasmic reticulum assembles simple cellular building blocks into complex molecular machines known as proteins. In order to protect the delicate protein folding process and ensure the proper cellular delivery of protein ...",9e-06
78,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5955502/,Cytoskeleton structure and total methylation of mouse cardiac and lung tissue during space flight - PMC,The purpose of this work was to evaluate the protein and mRNA expression levels of multiple cytoskeletal proteins in the cardiac and lung tissue of mice that were euthanized onboard the United States Orbital Segment of the International Space ...,9e-06
79,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4033213/,Genomic stability in response to high versus low linear energy transfer radiation in Arabidopsis thaliana - PMC,"Low linear energy transfer (LET) gamma rays and high LET HZE (high atomic weight, high energy) particles act as powerful mutagens in both plants and animals. DNA damage generated by HZE particles is more densely clustered than that generated by ...",9e-06
80,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6062551/,Cardiovascular progenitor cells cultured aboard the International Space Station exhibit altered developmental and functional properties - PMC,"The heart and its cellular components are profoundly altered by missions to space and injury on Earth. Further research, however, is needed to characterize and address the molecular substrates of such changes. For this reason, neonatal and adult ...",9e-06
81,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11271499/,Spaceflight increases sarcoplasmic reticulum Ca2+ leak and this cannot be counteracted with BuOE treatment - PMC,"Spending time in a microgravity environment is known to cause significant skeletal muscle atrophy and weakness via muscle unloading, which can be partly attributed to Ca2+ dysregulation. The sarco(endo)plasmic reticulum Ca2+ ATPase (SERCA) pump is ...",9e-06
82,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10285634/,Toward countering muscle and bone loss with spaceflight: GSK3 as a potential target - PMC,"We examined the effects of ∼30 days of spaceflight on glycogen synthase kinase 3 (GSK3) content and inhibitory serine phosphorylation in murine muscle and bone samples from four separate missions (BION-M1, rodent research [RR]1, RR9, and RR18). ...",9e-06
